name,career,tech,language,social_impact,party,religion,sports,networking,arts,music,time_low,hands_on,outdoor,international,beginner_friendly,competitive,financial_cost,event_frequency,leadership_opportunities,group_size,description,next_event_title,next_event_date,next_event_time,next_event_location,next_event_url,next_event_is_open,event_source_type
404 UNIVERSITY ESPORTS DRESDEN,1,1,both,0,1,0,1,1,0,0,0,0,0,1,1,1,0,high,1,large,"E-Sport-Hochschulgruppe der TU Dresden im Rahmen von 404 Multigaming e.V. mit Fokus auf kompetitives Gaming, Community-Events und E-Sport-Kursen für Studierende.",404 University Esports Dresden vs HSK Dragon,2026-01-06,18:00,ONLINE,https://www.opleague.pro/match/69399-404-University-Esports-Dresden-vs-HSK-Dragon,0,website
AEGEE-Dresden e. V.,1,0,both,1,1,0,0,1,0,0,0,1,0,1,1,0,0,medium,1,medium,"Studierendenverein im europäischen AEGEE-Netzwerk, der mit Buddy-Programm, internationalen Projekten und Veranstaltungen den interkulturellen Austausch und das europäische Engagement von Studierenden in Dresden fördert.",,,,,,,
AIAS Dresden e.V.,0,0,german,1,0,0,0,1,0,0,0,1,0,1,1,0,0,medium,1,medium,"Studentische Initiative an der TU Dresden, die durch Aufklärung und Registrierungsaktionen für Stammzellspenden im Kampf gegen Blutkrebs engagiert ist.",monatliches Treffen,EMPTY,EMPTY,EMPTY,https://aiasdresden.de,0,website
AIESEC,1,0,both,1,0,0,0,1,0,0,0,1,0,1,1,1,0,high,1,large,"AIESEC an der TU Dresden ist die lokale Gruppe der weltweit größten, von Studierenden geführten Austauschorganisation, die junge Menschen über Praktika und Freiwilligenprojekte im Ausland fördert und ihre Führungs- und interkulturellen Kompetenzen entwickelt.",,,,,,,
ANW Hochschulgruppe Tharandt,1,0,german,1,0,0,0,1,0,0,0,1,1,0,1,0,0,medium,1,small,"Eine waldbaulich engagierte Hochschulgruppe an der Forstfakultät Tharandt der TU Dresden, die Exkursionen, fachliche Vorträge und praktische Übungen zu naturnaher Waldwirtschaft organisiert.",,,,,,,
Akademische Fliegergruppe der TU Dresden e.V. (Akaflieg),1,1,german,0,0,0,1,1,0,0,0,1,1,0,1,1,1,high,1,medium,"Studierende verschiedener Fachrichtungen, die ehrenamtlich an luftfahrttechnischer Forschung, dem Bau eines eigenen Segelflugzeugs und am Segelfliegen arbeiten.",,,,,,,
Amateurfunk an der TU Dresden (DL0TUD),0,1,german,0,0,0,0,1,0,0,0,1,0,0,1,0,0,high,1,large,Amateurfunk-Klubstation und DARC-Ortsverband an der TU Dresden mit wöchentlichen Techniktreffen und gemeinsamer Funkpraxis im Barkhausenbau.,Dienstagstreffen an der Klubstation DL0TUD,2026-01-13,19:00,Barkhausenbau der TU Dresden,https://dl0tud.tu-dresden.de/wordpress/index.php/category/termine/,1,website
Amnesty International Hochschulgruppe Dresden,0,0,both,1,0,0,0,1,0,0,1,1,0,1,1,0,0,medium,1,small,"Eine ehrenamtliche Studierendengruppe, die durch Aktionen, Workshops und Kampagnen auf Menschenrechtsverletzungen aufmerksam macht und zum Engagement für Menschenrechte weltweit motiviert.",Plenum (Gruppentreffen, alle ungeraden Kalenderwochen),EMPTY,18:30,Chemnitzer Straße 59b, Dresden,https://amnesty-hochschulgruppe-dresden.de
Arbeiterkind.de Dresden,1,0,both,1,0,0,0,1,0,0,0,1,0,0,1,0,0,medium,1,medium,"Eine lokale Ehrenamtsgruppe, die als Anlaufstelle und Mentoring-Netzwerk Studierende der ersten Generation und Studieninteressierte in Dresden unterstützt.",Infoabend (online),2026-01-14,18:30,online,https://arbeiterkinddresden.jimdofree.com,1,website
Baghira,0,0,german,1,0,1,0,1,0,0,0,0,0,0,1,0,0,low,0,small,"Hochschulgruppe der TU Dresden, in der Studierende als ehrenamtliche Mentorinnen und Mentoren Grundschulkinder im Programm „Balu und Du“ über mindestens ein Jahr begleiten und sozial unterstützen.",,,,,,,website
Betonbootteam TU Dresden,1,1,german,0,1,0,1,1,0,0,0,1,1,0,1,1,0,low,1,medium,"Hochschulgruppe von vor allem Bauingenieurstudierenden, die seit 1996 kreative Betonboote planen, bauen und bei nationalen Regatten sowohl konstruktiv als auch sportlich erfolgreich einsetzen.",,,,,,,
Campusradio Dresden e.V.,1,1,both,1,1,0,0,1,0,1,0,1,0,1,1,0,0,medium,1,medium,"Ein unabhängiges studentisches Internetradio der TU Dresden, in dem Studierende eigenverantwortlich Beiträge und Sendungen produzieren und so praktische Medien- und Hörfunkerfahrung sammeln.",Workshop 2025 – Radiomachen zum Ausprobieren,2025-01-12,15:00,SLUB DrePunct,https://campusradiodresden.de/workshop-2025,1,website
Christians for Mission,0,0,both,0,0,1,0,1,0,0,1,0,0,1,1,0,0,medium,1,small,"Christliche Hochschulgruppe an der TU Dresden, die sich regelmäßig zur gemeinsamen Bibellese („Bible Study“) trifft und Studierende zu Austausch über den Glauben einlädt.",,,,,,,
Club 11 e.V.,0,0,german,0,1,0,0,1,0,1,0,0,1,0,1,0,1,high,1,small,"Ein ehrenamtlich betriebener Studentenclub und Cocktailbar am Campus mit gemütlicher Atmosphäre, regelmäßigen Veranstaltungen und dem traditionellen Bockbieranstich.",Weekly-Specials,Bockbieranstich,2026-01-14,EMPTY,Club 11,EMPTY,0
Club Aquarium e.V.,0,0,German,0,1,0,0,1,1,1,0,1,0,0,1,0,0,high,1,medium,"Studentenclub mit großer Cocktailauswahl und vielfältigem Kulturprogramm wie Konzerten, Ausstellungen und Partys von Studierenden für Studierende.",Riffparty Vol. 19,2026-01-15,20:30,Club Aquarium, St. Petersburger Straße 21, Dresden,https://club-aquarium.de
Club HängeMathe e.V.,0,0,both,0,1,0,0,1,1,1,0,1,0,0,1,0,1,high,1,medium,"Studentenclub im Wohnheim Zeunerstraße mit günstigen Getränken, vielen Themenpartys, Konzerten und Kleinkunstabenden in gemütlicher Wohnzimmeratmosphäre.",Kickerturnier,2026-01-09,19:30,HängeMathe,https://www.club-haengemathe.de/2026/01/09/kickerturnier.html,1,website
Club Traumtänzer e.V.,0,0,german,0,1,0,0,1,0,0,1,1,0,0,1,0,0,high,1,medium,"Mittelalterlich gestalteter, ehrenamtlich betriebener Studentenclub mit Kneipenabenden, Motto-Partys und Spiele-Events wie Pen & Paper und Magic.",,,,,,,
DE-LATAM e.V.,0,0,spanish,1,0,0,0,1,0,0,1,0,0,1,1,0,0,low,1,medium,"Ein Verein vor allem für spanischsprachige Studierende und Menschen mit lateinamerikanischem Hintergrund, der an der TU Dresden interkulturellen Austausch, Vernetzung und gegenseitige Unterstützung fördert.",,,,,,,website
DGB Hochschulgruppe Dresden,1,0,german,1,0,0,0,1,0,0,1,0,0,0,1,0,0,medium,1,medium,"Gewerkschaftliche Hochschulgruppe an der TU Dresden, die insbesondere Beratung und Unterstützung zu Arbeits- und Studiensituation für Studierende anbietet.",Beratung der DGB-Campus-Gruppe,2026-06-10,13:00,StuRa-Büro (DGB-Beratung),https://www.stura.tu-dresden.de/kalender/250610_dgb_beratung,1,stura
DIAS,1,0,german,1,0,0,0,1,0,0,1,0,0,0,1,0,0,medium,1,medium,"Eine Hochschulgruppe der TU Dresden, die als Dresdner Interessenverband für Außen- und Sicherheitspolitik ein Forum für Austausch mit Expert*innen und ein Netzwerk für sicherheitspolitisch interessierte Studierende bietet.",,,,,,,
DIE BÜHNE e.V. – das Theater der TU Dresden,0,0,both,0,1,0,0,1,1,0,0,1,0,1,1,0,0,high,1,large,"Studentisches Theater der TU Dresden mit hohem künstlerischen Anspruch, zahlreichen Produktionen und Kursen für Theaterbegeisterte aller Erfahrungsstufen.",,,,,,,
Die Linke.SDS Dresden,0,0,german,1,0,0,0,1,0,0,0,1,1,0,1,0,0,high,1,medium,"Linke, marxistisch geprägte Hochschulgruppe an der TU Dresden, die sich wöchentlich trifft, politische Bildung betreibt und sich in hochschul- und gesellschaftspolitischen Fragen engagiert.",Treffen der Hochschulgruppe (regelmäßiges Plenum),EMPTY,18:30,Gerhart-Potthoff-Bau TU Dresden (vermutlich montags, genauer Termin nicht angegeben),https://www.dielinke-dresden.de,1
EUROAVIA Dresden e.V.,1,1,english,0,1,0,0,1,0,0,0,1,0,1,1,1,0,medium,1,medium,"Hochschulgruppe der Luft- und Raumfahrtstudierenden, die internationale Vernetzung mit Industrie, technischen Workshops und Events rund um Aerospace an der TU Dresden bietet.",,,,,,,
Elbflorace Formula Student Team TU Dresden e.V.,1,1,both,0,0,0,0,1,0,0,0,1,0,1,0,1,1,high,1,large,"Ein interdisziplinäres Studierendenteam der TU Dresden, das wettkampforientiert elektrische und autonome Formelrennwagen entwickelt, konstruiert und baut.",,,,,,,
Erasmus Student Network TU Dresden e.V.,1,0,both,1,1,0,0,1,0,0,0,1,1,1,1,0,0,high,1,medium,"Studierendenverein, der internationale Austauschstudierende an der TU Dresden betreut, interkulturelle Begegnungen durch Veranstaltungen, Ausflüge und Partys fördert und so das Einleben in Dresden erleichtert.",Ball im Savoy in the Staatsoperette,2026-01-15,19:00,Staatsoperette Dresden,https://tickets.esn-germany.de/esntudresden/,1,website
Evangelische Studierendengemeinde Dresden (ESG),0,0,german,1,1,1,0,1,0,1,1,0,0,0,1,0,0,medium,1,medium,"Eine evangelische Studierendengemeinde an der TU Dresden mit Gottesdiensten, Andachten, Gesprächsabenden und gemeinschaftlichen Freizeitaktivitäten für junge Christinnen und Christen.",Ökumenischer Jahresanfangsgottesdienst,2026-01-12,19:00,Lukassaal,https://www.esg-dresden.de/2025/kumenischer-jahresanfangsgottesdienst,1,website
First Aid for All - Dresden,1,0,german,1,1,0,0,1,0,0,0,1,0,0,1,0,0,medium,1,medium,"Hochschulgruppe von Medizinstudierenden, die durch ehrenamtliche Erste-Hilfe- und Reanimationstrainings insbesondere an Schulen lebensrettende Kompetenzen in der Bevölkerung verbreitet und neue Trainer ohne Vorkenntnisse ausbildet.",,,,,,,
"Folkloretanzensemble ""Thea Maass"" der TU Dresden",0,0,german,0,0,0,1,1,1,1,0,1,0,0,0,1,low,high,1,large,Traditionsreiches studentisches Folkloretanzensemble der TU Dresden mit anspruchsvollen Bühnenchoreografien und regelmäßigen Auftritten.,"Probetraining mit dem Folkloretanzensemble ""Thea Maass""",2026-01-14,19:00,Hörsaalzentrum (HSZ),https://tu-dresden.de/studium/rund-ums-studium/kulturbuero/programmws2025,1,website
Fridays for Future Dresden,0,0,both,1,0,0,0,1,0,0,0,1,1,1,1,0,0,high,1,large,"Lokalgruppe der internationalen Fridays-for-Future-Bewegung in Dresden, die regelmäßig Klimastreiks und Aktionen für Klimagerechtigkeit organisiert und politisches Engagement für eine nachhaltige Zukunft fördert.",,,,,,,website
Genow - Gender Equality NOW,0,0,both,1,0,0,0,1,0,0,0,0,0,0,1,0,0,low,1,small,"Eine feministische Hochschulgruppe der TU Dresden, die sich theoretisch und praktisch mit patriarchaler Macht, Gender und geschlechtergerechten Strukturen auseinandersetzt und studentisches Engagement für Gleichstellung fördert.",Gender. Macht. Gesellschaft.,EMPTY,EMPTY,EMPTY,https://tu-dresden.de/studium/im-studium/studienorganisation/lehrangebot/studium-generale/generaledb/integrale_veranstaltung?ausgabe=20&zielgruppe=&orig_template=integrale_listing_fak&table=veranstaltung&autoid=2528,0,website
Gutzkowclub e.V.,0,0,german,0,1,0,0,1,0,1,1,1,1,0,1,1,low,high,1,medium,"Dresdens ältester Studentenclub mit ehrenamtlich organisiertem Bar- und Kulturprogramm wie Karaoke, Turnieren und Partys im Wohnheim an der Gutzkowstraße.",EMPTY,EMPTY,EMPTY,Gutzkowstraße 29, 01069 Dresden,EMPTY,0
HSG Grundvorlesung ökologische Nachhaltigkeit,1,1,both,1,0,0,0,1,0,0,0,0,0,0,1,0,0,low,1,medium,"Eine von Studierenden organisierte Ringvorlesung an der TU Dresden, die Grundlagen ökologischer Nachhaltigkeit und der Klimakrise verständlich und niedrigschwellig aus verschiedenen Perspektiven vermittelt.",SustainAbility: Nachhaltigkeit verstehen & umsetzen – Nachhaltiger Bau,2026-01-08,16:40,MOL/213/H,https://tu-dresden.de/tu-dresden/nachhaltigkeit/mitmachen/veranstaltungen/grundvorlesung-oekologische-nachhaltigkeit,1,website
Heinrich-Cotta-Club e.V.,0,0,german,0,1,0,0,1,0,0,0,0,0,0,1,0,low,high,1,medium,"Studentischer Club in Tharandt, der seit 1986 als wichtiger Kultur- und Partytreffpunkt der Forststudierenden fungiert und regelmäßige Clubabende sowie weitere Events organisiert.",,,,,,,
IG Börse an der TU Dresden e.V.,1,0,german,0,0,0,0,1,0,0,0,1,0,0,1,1,low,medium,1,medium,"Studentischer Börsenverein, der durch Vorträge, Seminare und Exkursionen praxisnahe Einblicke in Finanzmärkte bietet und ein Netzwerk zu Wirtschaft und Finanzbranche aufbaut.",6. Montagstreff,2026-01-12,18:30,Raum 401 Hörsaalzentrum, Bergstraße 64, 01069 Dresden, Deutschland
Indian Association Dresden e. V.,0,0,both,1,1,1,1,1,1,1,0,0,0,1,1,0,0,medium,1,large,"Verein indischer Studierender und Akademiker in Dresden, der durch kulturelle Feste, Sport- und Freizeitangebote sowie Unterstützung im Alltag den interkulturellen Austausch zwischen indischer und deutscher Community fördert.",,,,,,,
Ingenieure ohne Grenzen Dresden (IOG),1,1,both,1,0,0,0,1,0,0,0,1,1,1,1,0,0,medium,1,medium,"Eine ehrenamtliche Hochschulgruppe, in der Studierende an technischen Entwicklungsprojekten und Bildungsarbeit mit sozialem und internationalem Fokus mitwirken.",Plenum/Regelmäßiges Treffen der Regionalgruppe Dresden,2026-01-22,19:00,Räumlichkeiten der Bürgerstiftung Dresden,https://www.ingenieure-ohne-grenzen.org/de/mitmachen/regionalgruppe-dresden,1,website
Islamischer Hochschulbund Dresden,1,0,both,1,0,1,0,1,0,0,0,0,0,1,1,0,0,medium,1,medium,"Eine muslimische Hochschulgruppe, die Wissen, islamische Religion, interkulturellen Dialog und internationale studentische Vernetzung fördert.",,,,,,,
JuFORUM-Lokalgruppe Dresden,1,1,German,1,0,0,0,1,0,0,0,1,0,1,1,0,0,low,1,medium,"Lokale Gruppe des bundesweiten juFORUM-Vereins an der TU Dresden, die naturwissenschaftlich interessierten jungen Menschen Exkursionen, Forschungs­einblicke und Vernetzung mit Wissenschaft und Wirtschaft bietet.",Jungforschenden-Congress 2026,2026-03-25,EMPTY,Dresden,https://www.juforum.de/veranstaltungen/jungforschenden-congress-2026-dresden,1,website
Junges Ensemble Dresden,0,0,german,0,0,0,0,0,1,1,0,0,0,1,0,1,1,medium,1,medium,"Ambitionierter studentischer Kammerchor der TU Dresden mit etwa 35 jungen Sängerinnen und Sängern, der anspruchsvolle a-cappella-Chorliteratur von Renaissance bis Moderne erarbeitet, regelmäßig probt, konzertiert und auf internationalen Konzertreisen künstlerischen Austausch pflegt.",Probe Junges Ensemble Dresden,2026-01-12,19:00,Seminargebäude ABS Raum E04 August-Bebel-Straße Dresden,https://www.studentenwerk-dresden.de/wirueberuns/newsartikel-6678.html,1,website
Juso-Hochschulgruppe (JHG) Dresden,1,0,german,1,1,0,0,1,0,0,0,1,0,1,1,0,0,medium,1,small,"Politische Hochschulgruppe und Jugendorganisation der SPD an der TU Dresden mit sozialistischem, feministischen und internationalistischem Anspruch, die sich in Arbeitsgruppen und Treffen für progressive Hochschul- und Gesellschaftspolitik engagiert.",Auswertung Gießen und Juso-Bundeskongress,2026-01-08,18:30,Die Genoss*innenschaft (Kamenzer Straße 12, 01099 Dresden),https://dresden.jusos.info,1
